symbol,name,screens,screen_count,discovery_score,price,market_cap,trailing_pe,forward_pe,price_to_book,change_52w_pct,avg_volume_3m,exchange,quote_time
VISN,"Vistance Networks, Inc.",asset_value,1,28.75,12.13,2736159744,17.838236,9.307286,0.59536666,54.52229,7202229,NasdaqGS,1784318400
OLED,Universal Display Corporation,fallen_profitable,1,28.67,80.18,3748486656,17.857462,16.279575,2.1998463,-46.628506,884656,NasdaqGS,1784318400
TDC,Teradata Corporation,cashflow_value,1,28.27,30.52,2871932160,6.983982,10.6342945,5.172881,41.689884,2838869,NYSE,1784318402
MZTI,The Marzetti Company,fallen_profitable,1,28.2,107.14,2938033664,16.766823,14.843447,2.8120735,-40.533943,367317,NasdaqGS,1784318401
MTUS,Metallus Inc.,asset_value,1,28.19,19.38,806746880,276.85712,14.516853,1.1814911,17.739975,336966,NYSE,1784318403
GNK,Genco Shipping & Trading Limited,asset_value,1,28.13,24.12,1051078528,61.846157,13.76139,1.1871833,59.207916,335367,NYSE,1784318402
OPRA,Opera Limited,cashflow_value,1,28.08,19.36,1733745536,15.36508,11.11545,1.7711098,9.131908,427312,NasdaqGS,1784318401
EEFT,"Euronet Worldwide, Inc.",cashflow_value,1,27.94,81.34,3097028096,11.926685,6.6718993,2.5565753,-19.481289,714822,NasdaqGS,1784318401
AMR,"Alpha Metallurgical Resources, Inc.",asset_value,1,27.91,143.8,1828363008,,5.270295,1.2089012,14.063621,254679,NYSE,1784318403
JBSS,"John B. Sanfilippo & Son, Inc.",cashflow_value,1,27.6,79.47,928970560,13.917688,16.695377,2.3964176,19.57568,121261,NasdaqGS,1784318401
INSW,"International Seaways, Inc.",cashflow_value,1,27.55,86.76,4295027712,7.90164,13.469206,1.9573604,125.81987,582516,NYSE,1784318403
FDS,FactSet Research Systems Inc.,fallen_profitable,1,27.45,258.09,9179111424,17.001976,13.119869,4.543518,-38.997353,938493,NYSE,1784318402
HCI,"HCI Group, Inc.",cashflow_value,1,27.25,177.97,2271752960,7.798861,9.633538,2.1082995,24.777401,186261,NYSE,1784318403
